id,titulo,empresa,ubicacion,modalidad,salario_min,salario_max,descripcion,requisitos,url,estado,area
vac_011,Ingeniero Industrial Procesos Semi-Senior,ISA,"Bogotá, Cundinamarca",presencial,10421003,13126427,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. ISA es una de las organizaciones líderes en su sector en Colombia.,lean six sigma; mejora continua; kpi; pensamiento crítico,https://empleos.isa.com.co/oferta/6883,activa,ingenierias
vac_012,Diseñador de Iluminación,Arquitectura e Interiores,"Cartagena, Bolívar",remoto,6345751,8348246,"Reconocido estudio de arquitectura busca profesional creativo, riguroso y apasionado por el diseño para sumarse a proyectos de alto impacto. Arquitectura e Interiores es una de las organizaciones líderes en su sector en Colombia.",dialux; luminotecnia; render; comunicación efectiva; pensamiento crítico,https://empleos.arquitectura-e-interiores.com.co/oferta/4470,activa,arquitectura
vac_013,Diseñador Industrial,Designit,"Barranquilla, Atlántico",remoto,8098467,8729305,"Estudio de diseño busca creativo con visión integral, capacidad de iterar rápido y obsesión por la calidad para proyectos digitales y físicos. Designit es una de las organizaciones líderes en su sector en Colombia.",solidworks; rhino; prototipado; manufactura; orientación al detalle; comunicación efectiva,https://empleos.designit.com.co/oferta/1600,activa,diseno
vac_014,Coordinador HSEQ,Mexichem,"Medellín, Antioquia",hibrido,6875899,7803329,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Mexichem es una de las organizaciones líderes en su sector en Colombia.,sg-sst; iso 45001; auditorías hseq; trabajo en equipo,https://empleos.mexichem.com.co/oferta/1195,activa,ingenierias
vac_015,Abogado Inmobiliario,Lloreda Camacho,"Bogotá, Cundinamarca",presencial,8954919,11728413,Prestigiosa firma legal busca abogado(a) con sólido criterio jurídico y capacidad para atender clientes corporativos de alto nivel. Lloreda Camacho es una de las organizaciones líderes en su sector en Colombia.,urbanismo; ley 388; contratos inmobiliarios; proactividad,https://empleos.lloreda-camacho.com.co/oferta/8231,activa,derecho
vac_016,Frontend Engineer Junior,Endava,"Medellín, Antioquia",remoto,4834662,6835422,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Endava es una de las organizaciones líderes en su sector en Colombia.,react; typescript; tailwind; next.js; resolución de problemas,https://empleos.endava.com.co/oferta/7658,inactiva,tecnologia
vac_017,Diseñador Instruccional,Universidad de los Andes,"Bogotá, Cundinamarca",hibrido,3250004,5020142,"Reconocida institución educativa busca docente apasionado por la formación de nuevas generaciones, con visión innovadora y vocación pedagógica. Universidad de los Andes es una de las organizaciones líderes en su sector en Colombia.",e-learning; moodle; articulate; orientación al detalle,https://empleos.universidad-de-los-andes.com.co/oferta/3762,activa,educacion
vac_018,Machine Learning Engineer,Bancolombia,"Bogotá, Cundinamarca",hibrido,9403862,11700843,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Bancolombia es una de las organizaciones líderes en su sector en Colombia.,python; pytorch; mlops; docker; aws; resolución de problemas; comunicación efectiva,https://empleos.bancolombia.com.co/oferta/3266,activa,tecnologia
vac_019,Asesor Comercial Banca Personal,Banco Popular,"Barranquilla, Atlántico",remoto,9552503,11623105,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. Banco Popular es una de las organizaciones líderes en su sector en Colombia.,ventas consultivas; fidelización; pensamiento crítico; proactividad,https://empleos.banco-popular.com.co/oferta/7154,activa,economia_finanzas
vac_020,Ingeniero Geólogo,Sumicol,"Barranquilla, Atlántico",remoto,7667121,9833748,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Sumicol es una de las organizaciones líderes en su sector en Colombia.,arcgis; petrología; interpretación geológica; orientación al detalle; pensamiento crítico,https://empleos.sumicol.com.co/oferta/1202,activa,ingenierias
vac_021,Camarero / Mesero,Hilton,"Bogotá, Cundinamarca",presencial,5844336,7859534,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. Hilton es una de las organizaciones líderes en su sector en Colombia.,servicio en sala; inglés básico; trabajo en equipo; trabajo en equipo; proactividad,https://empleos.hilton.com.co/oferta/6309,activa,hospitalidad_turismo
vac_022,Odontólogo General,Compensar,"Cartagena, Bolívar",hibrido,7751708,10003643,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Compensar es una de las organizaciones líderes en su sector en Colombia.,operatoria; endodoncia; ortodoncia básica; trabajo en equipo; resolución de problemas,https://empleos.compensar.com.co/oferta/3815,activa,salud
vac_023,Bioquímico,Servicio Geológico Colombiano,"Bogotá, Cundinamarca",remoto,7833788,8733773,Reconocida institución de investigación busca científico apasionado por la generación de conocimiento y la publicación de resultados. Servicio Geológico Colombiano es una de las organizaciones líderes en su sector en Colombia.,enzimología; proteómica; metabolómica; trabajo en equipo; orientación al detalle,https://empleos.servicio-geológico-colombiano.com.co/oferta/7251,activa,ciencias
vac_024,Físico Investigador,INS,"Medellín, Antioquia",hibrido,3790937,4449214,Reconocida institución de investigación busca científico apasionado por la generación de conocimiento y la publicación de resultados. INS es una de las organizaciones líderes en su sector en Colombia.,matlab; simulación; física experimental; comunicación efectiva,https://empleos.ins.com.co/oferta/5341,activa,ciencias
vac_025,Tutor de Programación Online Junior,San Carlos,"Manizales, Caldas",hibrido,3245872,4941512,"Reconocida institución educativa busca docente apasionado por la formación de nuevas generaciones, con visión innovadora y vocación pedagógica. San Carlos es una de las organizaciones líderes en su sector en Colombia.",python; javascript; didáctica digital; pensamiento crítico; orientación al detalle,https://empleos.san-carlos.com.co/oferta/3414,activa,educacion
vac_026,Asesor de Viajes,Sheraton,"Bogotá, Cundinamarca",remoto,2726406,5254366,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. Sheraton es una de las organizaciones líderes en su sector en Colombia.,amadeus; sabre; destinos turísticos; comunicación efectiva,https://empleos.sheraton.com.co/oferta/8989,activa,hospitalidad_turismo
vac_027,Nutricionista Senior,Audifarma,"Bogotá, Cundinamarca",remoto,5632216,7399406,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Audifarma es una de las organizaciones líderes en su sector en Colombia.,plan alimentario; atención clínica; nutrición deportiva; trabajo en equipo; comunicación efectiva,https://empleos.audifarma.com.co/oferta/7248,activa,salud
vac_028,Sommelier,Movich,"Cali, Valle del Cauca",remoto,4978031,6863094,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. Movich es una de las organizaciones líderes en su sector en Colombia.,maridaje; cata; carta de vinos; proactividad; pensamiento crítico,https://empleos.movich.com.co/oferta/8848,activa,hospitalidad_turismo
vac_029,Analista de Selección,Davivienda HR,"Barranquilla, Atlántico",presencial,7529674,10428540,Reconocida empresa busca profesional de Recursos Humanos con visión estratégica y foco en la experiencia del colaborador. Davivienda HR es una de las organizaciones líderes en su sector en Colombia.,entrevistas; psicometría; linkedin recruiter; orientación al detalle,https://empleos.davivienda-hr.com.co/oferta/2791,activa,recursos_humanos
vac_030,Analista de Inversiones,Porvenir,"Bogotá, Cundinamarca",hibrido,9119156,11066755,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. Porvenir es una de las organizaciones líderes en su sector en Colombia.,renta fija; renta variable; bloomberg; resolución de problemas,https://empleos.porvenir.com.co/oferta/1689,activa,economia_finanzas
vac_031,Enfermero(a) Auxiliar Senior,Sanitas,"Cali, Valle del Cauca",presencial,6466293,8507955,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Sanitas es una de las organizaciones líderes en su sector en Colombia.,atención al paciente; signos vitales; pensamiento crítico,https://empleos.sanitas.com.co/oferta/1430,activa,salud
vac_032,Analista de Cobranzas,PwC,"Bucaramanga, Santander",remoto,3544906,4624065,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. PwC es una de las organizaciones líderes en su sector en Colombia.,gestión de mora; negociación; siesa; proactividad; pensamiento crítico,https://empleos.pwc.com.co/oferta/9609,activa,economia_finanzas
vac_033,Ingeniero Electrónico,Cenit,Remoto - Colombia,remoto,6551526,7380227,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Cenit es una de las organizaciones líderes en su sector en Colombia.,plc; scada; automatización; comunicación efectiva; proactividad,https://empleos.cenit.com.co/oferta/5225,activa,ingenierias
vac_034,Especialista en Compensación,Argos HR,"Barranquilla, Atlántico",presencial,4438836,5558238,Reconocida empresa busca profesional de Recursos Humanos con visión estratégica y foco en la experiencia del colaborador. Argos HR es una de las organizaciones líderes en su sector en Colombia.,benchmarking; mercer; estructuras salariales; trabajo en equipo; resolución de problemas,https://empleos.argos-hr.com.co/oferta/2823,activa,recursos_humanos
vac_035,Blockchain Developer,Belatrix,"Bogotá, Cundinamarca",presencial,8136657,10155783,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Belatrix es una de las organizaciones líderes en su sector en Colombia.,solidity; ethereum; smart contracts; proactividad; comunicación efectiva,https://empleos.belatrix.com.co/oferta/8135,activa,tecnologia
vac_036,Desarrollador Backend Senior,Perficient,"Bogotá, Cundinamarca",hibrido,8048443,10879504,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Perficient es una de las organizaciones líderes en su sector en Colombia.,python; django; postgresql; docker; aws; comunicación efectiva; proactividad,https://empleos.perficient.com.co/oferta/5861,activa,tecnologia
vac_037,Ecólogo,Universidad de los Andes,"Barranquilla, Atlántico",presencial,8927608,11262616,Reconocida institución de investigación busca científico apasionado por la generación de conocimiento y la publicación de resultados. Universidad de los Andes es una de las organizaciones líderes en su sector en Colombia.,biodiversidad; muestreo; modelos ecológicos; comunicación efectiva; orientación al detalle,https://empleos.universidad-de-los-andes.com.co/oferta/4057,activa,ciencias
vac_038,Camarero / Mesero Semi-Senior,Wingo,"Cartagena, Bolívar",hibrido,2754610,3658515,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. Wingo es una de las organizaciones líderes en su sector en Colombia.,servicio en sala; inglés básico; trabajo en equipo; orientación al detalle,https://empleos.wingo.com.co/oferta/9246,activa,hospitalidad_turismo
vac_039,Coordinador Académico,Universidad de los Andes,Remoto - Colombia,hibrido,6344156,6954399,"Reconocida institución educativa busca docente apasionado por la formación de nuevas generaciones, con visión innovadora y vocación pedagógica. Universidad de los Andes es una de las organizaciones líderes en su sector en Colombia.",liderazgo educativo; planeación curricular; pensamiento crítico; orientación al detalle,https://empleos.universidad-de-los-andes.com.co/oferta/3126,activa,educacion
vac_040,Performance Marketing Manager,Y&R Colombia,"Cali, Valle del Cauca",remoto,9572220,12369884,Reconocida agencia / marca busca profesional creativo y data-driven para liderar estrategias de marketing y crecimiento digital. Y&R Colombia es una de las organizaciones líderes en su sector en Colombia.,google ads; meta ads; ga4; comunicación efectiva,https://empleos.yandr-colombia.com.co/oferta/4435,activa,marketing
vac_041,Desarrollador Backend Senior,Nubank,"Bogotá, Cundinamarca",hibrido,5110927,7521080,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Nubank es una de las organizaciones líderes en su sector en Colombia.,python; django; postgresql; docker; aws; proactividad,https://empleos.nubank.com.co/oferta/7291,activa,tecnologia
vac_042,Practicante en Marketing Digital,ISA,Remoto - Colombia,presencial,1993029,4988509,Programa de talento joven diseñado para que recién egresados y practicantes desarrollen su carrera en una empresa líder del país. ISA es una de las organizaciones líderes en su sector en Colombia.,estudiante; redes sociales; creatividad; pensamiento crítico,https://empleos.isa.com.co/oferta/6901,activa,trainees_practicas
vac_043,Practicante en Marketing Digital,Bavaria,"Barranquilla, Atlántico",hibrido,2041139,3745689,Programa de talento joven diseñado para que recién egresados y practicantes desarrollen su carrera en una empresa líder del país. Bavaria es una de las organizaciones líderes en su sector en Colombia.,estudiante; redes sociales; creatividad; resolución de problemas; orientación al detalle,https://empleos.bavaria.com.co/oferta/6797,activa,trainees_practicas
vac_044,Abogado de Datos Personales,Procuraduría,"Medellín, Antioquia",hibrido,9504473,11395290,Prestigiosa firma legal busca abogado(a) con sólido criterio jurídico y capacidad para atender clientes corporativos de alto nivel. Procuraduría es una de las organizaciones líderes en su sector en Colombia.,habeas data; GDPR; ley 1581; trabajo en equipo; proactividad,https://empleos.procuraduría.com.co/oferta/2615,activa,derecho
vac_045,Growth Hacker,Geometry Global,"Bogotá, Cundinamarca",hibrido,9647083,10727551,Reconocida agencia / marca busca profesional creativo y data-driven para liderar estrategias de marketing y crecimiento digital. Geometry Global es una de las organizaciones líderes en su sector en Colombia.,a/b testing; funnels; automatizaciones; resolución de problemas,https://empleos.geometry-global.com.co/oferta/6857,activa,marketing
vac_046,Psicólogo Clínico Junior,Fundación Santa Fe,"Medellín, Antioquia",presencial,7092260,8995881,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Fundación Santa Fe es una de las organizaciones líderes en su sector en Colombia.,terapia cognitiva; evaluación psicológica; resolución de problemas; proactividad,https://empleos.fundación-santa-fe.com.co/oferta/3463,activa,salud
vac_047,Data Engineer,GeoVictoria,"Cali, Valle del Cauca",presencial,5959847,8846847,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. GeoVictoria es una de las organizaciones líderes en su sector en Colombia.,python; sql; airflow; spark; bigquery; resolución de problemas,https://empleos.geovictoria.com.co/oferta/5700,activa,tecnologia
vac_048,Director Financiero,Bancolombia,"Bogotá, Cundinamarca",hibrido,11382154,13034500,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. Bancolombia es una de las organizaciones líderes en su sector en Colombia.,cfo; planeación financiera; controlling; trabajo en equipo; orientación al detalle,https://empleos.bancolombia.com.co/oferta/8054,activa,economia_finanzas
vac_049,Especialista en SEO Semi-Senior,Almacenes Éxito,"Cali, Valle del Cauca",hibrido,9039139,11685386,Reconocida agencia / marca busca profesional creativo y data-driven para liderar estrategias de marketing y crecimiento digital. Almacenes Éxito es una de las organizaciones líderes en su sector en Colombia.,seo on page; seo off page; ahrefs; semrush; resolución de problemas,https://empleos.almacenes-éxito.com.co/oferta/4787,inactiva,marketing
vac_050,Odontólogo General,Tecnoquímicas,"Cali, Valle del Cauca",presencial,6005773,7138530,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Tecnoquímicas es una de las organizaciones líderes en su sector en Colombia.,operatoria; endodoncia; ortodoncia básica; trabajo en equipo; resolución de problemas,https://empleos.tecnoquímicas.com.co/oferta/2381,activa,salud
vac_051,Actuario Semi-Senior,Scotiabank Colpatria,"Medellín, Antioquia",presencial,12272069,15174890,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. Scotiabank Colpatria es una de las organizaciones líderes en su sector en Colombia.,modelos actuariales; solvencia ii; python; proactividad; comunicación efectiva,https://empleos.scotiabank-colpatria.com.co/oferta/2017,activa,economia_finanzas
vac_052,Ingeniero Civil de Proyectos Junior,Mineros S.A.,"Manizales, Caldas",presencial,4317882,5042511,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Mineros S.A. es una de las organizaciones líderes en su sector en Colombia.,autocad; ms project; presupuestos; pensamiento crítico,https://empleos.mineros-sa.com.co/oferta/9849,activa,ingenierias
vac_053,Headhunter Senior,Compensar,"Bucaramanga, Santander",presencial,6751193,9507179,Reconocida empresa busca profesional de Recursos Humanos con visión estratégica y foco en la experiencia del colaborador. Compensar es una de las organizaciones líderes en su sector en Colombia.,search ejecutivo; redes profesionales; orientación al detalle,https://empleos.compensar.com.co/oferta/7347,cerrada,recursos_humanos
vac_054,Ingeniero de Petróleos,Argos,Remoto - Colombia,presencial,3744287,5652522,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Argos es una de las organizaciones líderes en su sector en Colombia.,geomecánica; yacimientos; schlumberger; comunicación efectiva; proactividad,https://empleos.argos.com.co/oferta/2110,activa,ingenierias
vac_055,Bibliotecólogo,Universidad EAFIT,"Barranquilla, Atlántico",remoto,5848545,7500113,"Reconocida institución educativa busca docente apasionado por la formación de nuevas generaciones, con visión innovadora y vocación pedagógica. Universidad EAFIT es una de las organizaciones líderes en su sector en Colombia.",catalogación; bases de datos; alfabetización informacional; trabajo en equipo,https://empleos.universidad-eafit.com.co/oferta/7655,activa,educacion
vac_056,Camarero / Mesero Junior,Expedia,"Medellín, Antioquia",hibrido,7344406,10260831,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. Expedia es una de las organizaciones líderes en su sector en Colombia.,servicio en sala; inglés básico; trabajo en equipo; pensamiento crítico; comunicación efectiva,https://empleos.expedia.com.co/oferta/2373,activa,hospitalidad_turismo
vac_057,Bacteriólogo,Cruz Verde,"Bogotá, Cundinamarca",presencial,5486137,8184239,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. Cruz Verde es una de las organizaciones líderes en su sector en Colombia.,microbiología; hematología; inmunología; resolución de problemas,https://empleos.cruz-verde.com.co/oferta/7108,activa,salud
vac_058,Site Reliability Engineer,ADL Digital Lab,"Cali, Valle del Cauca",hibrido,10898302,12269827,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. ADL Digital Lab es una de las organizaciones líderes en su sector en Colombia.,kubernetes; prometheus; go; linux; proactividad; trabajo en equipo,https://empleos.adl-digital-lab.com.co/oferta/3573,activa,tecnologia
vac_059,Enfermero(a) Jefe,EPS Sura,"Medellín, Antioquia",hibrido,1932381,3163222,Reconocida institución del sector salud busca profesional comprometido con el bienestar del paciente y los más altos estándares de calidad. EPS Sura es una de las organizaciones líderes en su sector en Colombia.,liderazgo; uci; protocolos; trabajo en equipo; proactividad,https://empleos.eps-sura.com.co/oferta/7897,activa,salud
vac_060,Bioquímico,Bayer Investigación,"Bogotá, Cundinamarca",presencial,7785593,9962468,Reconocida institución de investigación busca científico apasionado por la generación de conocimiento y la publicación de resultados. Bayer Investigación es una de las organizaciones líderes en su sector en Colombia.,enzimología; proteómica; metabolómica; proactividad,https://empleos.bayer-investigación.com.co/oferta/2264,activa,ciencias
vac_061,Auditor Senior,KPMG,"Bogotá, Cundinamarca",remoto,11513701,13662308,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. KPMG es una de las organizaciones líderes en su sector en Colombia.,auditoría interna; control interno; coso; trabajo en equipo,https://empleos.kpmg.com.co/oferta/1372,activa,economia_finanzas
vac_062,Docente de Inglés,San Carlos,"Bucaramanga, Santander",remoto,2516648,4429140,"Reconocida institución educativa busca docente apasionado por la formación de nuevas generaciones, con visión innovadora y vocación pedagógica. San Carlos es una de las organizaciones líderes en su sector en Colombia.",inglés C1; TEFL; metodología comunicativa; orientación al detalle,https://empleos.san-carlos.com.co/oferta/7172,activa,educacion
vac_063,Senior UX Researcher,Habi Design,"Bogotá, Cundinamarca",presencial,8774359,11103595,"Estudio de diseño busca creativo con visión integral, capacidad de iterar rápido y obsesión por la calidad para proyectos digitales y físicos. Habi Design es una de las organizaciones líderes en su sector en Colombia.",entrevistas; usabilidad; miro; dovetail; comunicación efectiva; resolución de problemas,https://empleos.habi-design.com.co/oferta/8863,activa,diseno
vac_064,Ingeniero Civil de Proyectos,Sumicol,"Bucaramanga, Santander",presencial,6956775,9677374,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Sumicol es una de las organizaciones líderes en su sector en Colombia.,autocad; ms project; presupuestos; comunicación efectiva,https://empleos.sumicol.com.co/oferta/2640,activa,ingenierias
vac_065,Diseñador de Interiores,Arquitectura e Interiores,"Medellín, Antioquia",presencial,2796651,5615533,"Reconocido estudio de arquitectura busca profesional creativo, riguroso y apasionado por el diseño para sumarse a proyectos de alto impacto. Arquitectura e Interiores es una de las organizaciones líderes en su sector en Colombia.",sketchup; 3ds max; render; materiales; comunicación efectiva; resolución de problemas,https://empleos.arquitectura-e-interiores.com.co/oferta/5067,activa,arquitectura
vac_066,Abogado Tributario,Garrigues,"Bogotá, Cundinamarca",presencial,9482298,10304997,Prestigiosa firma legal busca abogado(a) con sólido criterio jurídico y capacidad para atender clientes corporativos de alto nivel. Garrigues es una de las organizaciones líderes en su sector en Colombia.,derecho tributario; dian; precios de transferencia; orientación al detalle,https://empleos.garrigues.com.co/oferta/7375,activa,derecho
vac_067,Supervisor de Obra,Sumicol,"Barranquilla, Atlántico",presencial,6127341,7128144,Empresa líder del sector industrial busca ingeniero(a) con sólida formación técnica y capacidad para liderar proyectos de alto impacto. Sumicol es una de las organizaciones líderes en su sector en Colombia.,lectura de planos; topografía; presupuestos; comunicación efectiva,https://empleos.sumicol.com.co/oferta/4656,activa,ingenierias
vac_068,Frontend Engineer,Frubana,"Bucaramanga, Santander",remoto,11768591,12692221,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Frubana es una de las organizaciones líderes en su sector en Colombia.,react; typescript; tailwind; next.js; proactividad; resolución de problemas,https://empleos.frubana.com.co/oferta/3664,activa,tecnologia
vac_069,Analista de Riesgos Crediticios Senior,BDO,"Bogotá, Cundinamarca",presencial,6286141,7762728,Reconocida entidad financiera busca profesional con sólido perfil analítico y orientación al cliente para fortalecer nuestro equipo. BDO es una de las organizaciones líderes en su sector en Colombia.,riesgo de crédito; sas; python; proactividad; pensamiento crítico,https://empleos.bdo.com.co/oferta/2647,activa,economia_finanzas
vac_070,Coordinador de Eventos,LATAM Airlines,"Cali, Valle del Cauca",remoto,4656874,6091781,Reconocida cadena hotelera / turística busca profesional con vocación de servicio y excelencia para atender huéspedes nacionales e internacionales. LATAM Airlines es una de las organizaciones líderes en su sector en Colombia.,organización; negociación; logística; resolución de problemas; pensamiento crítico,https://empleos.latam-airlines.com.co/oferta/8898,activa,hospitalidad_turismo
vac_071,Bioquímico,Bavaria I+D,"Bogotá, Cundinamarca",hibrido,9159757,9954986,Reconocida institución de investigación busca científico apasionado por la generación de conocimiento y la publicación de resultados. Bavaria I+D es una de las organizaciones líderes en su sector en Colombia.,enzimología; proteómica; metabolómica; comunicación efectiva,https://empleos.bavaria-i+d.com.co/oferta/9511,activa,ciencias
vac_072,Site Reliability Engineer,Rappi,"Barranquilla, Atlántico",presencial,4957397,7778352,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Rappi es una de las organizaciones líderes en su sector en Colombia.,kubernetes; prometheus; go; linux; proactividad,https://empleos.rappi.com.co/oferta/9042,activa,tecnologia
vac_073,AI Engineer Senior,Rappi,"Bogotá, Cundinamarca",remoto,5750357,8538728,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Rappi es una de las organizaciones líderes en su sector en Colombia.,python; llm; langchain; rag; openai; pensamiento crítico,https://empleos.rappi.com.co/oferta/3088,activa,tecnologia
vac_074,UX Engineer,Platzi,"Barranquilla, Atlántico",remoto,6873965,7795602,Buscamos un profesional apasionado por la tecnología que se sume a nuestro equipo de ingeniería para construir productos escalables y de alto impacto. Platzi es una de las organizaciones líderes en su sector en Colombia.,react; figma; design systems; css; comunicación efectiva; resolución de problemas,https://empleos.platzi.com.co/oferta/3939,activa,tecnologia
